t_dat,customer_id,article_id,price,sales_channel_id
2019-09-13,215895f90002eb3d1a04bd603513c8e85e6002ef08f13651b65631e0db7d1644,786586001,0.0220169491525423,1
2019-02-23,7b183268e3a4623b80d5325ec4a20a0af0edff7bcb1748cf462b72cfc71a41a4,658911001,0.0287966101694915,2
2019-07-17,2eb7412239a90c0570cd3d1bf0492856ae5b59058b1ea62e487a0f1210c3354c,759326005,0.0508305084745762,2
2019-05-16,74f162e5a170fd57207aa2a7d5c58479ee9de903b2a277fb107b8e6d4ee3f795,737137004,0.0271016949152542,1
2019-08-10,aab9306ee28c4db494003955f80355e540b01480ab35cfab419b2065405c7fe7,785931001,0.0508305084745762,2
2019-11-04,01dd96059a11759518f10969d0a528f03c8501dc4c628bf69409db1890a59216,771829002,0.0677796610169491,2
2019-06-23,b20cd1499a96282af3adb57387a52de74c01062c479ae7bb89077f0add1c91cd,663282007,0.0423559322033898,2
2020-05-22,9cc3a0a2e13b8c7796ea7e597128d28de2f4a75b1dad55c248316e2035e0ffff,464297007,0.0141694915254237,1
2019-03-17,436e0ab4fd13bfc291cf4278121a474bcc7258a5b3d70f457542423358e496a1,781683004,0.0418813559322033,2
2020-07-22,1ca8c524df4c6a76fdc80f860228a349f78c9c195089789904102ad83633b97b,865917001,0.0164067796610169,1
2020-05-22,66d408cda9d23f89f45e1376a982444a597d2a9e17023fdf8873c688501177f1,832330002,0.0169322033898305,2
2020-07-09,e8d3d594109486e3b03f3fa5780bdaea3d1ecfe65e941b943ee25e4358713a9d,824263001,0.0033728813559322,1
2019-06-19,b486ff7d14f1493407e44c801ad3ea3d3eb1b68a959cb16f2810a45d6e51a3ca,562245001,0.0225254237288135,2
2019-01-30,e50fad2e1c820897e45c324566ad8f8c8b93ebfdcb8d7d73fad01b61be82caf5,653188002,0.0118474576271186,1
2020-05-26,fc7f7782bfa33f9225938c91ca98f4b9e925713f419938b7beaaf85337b14b87,815434001,0.0187118644067796,1
2020-07-15,34786f1852b83c64f70f06535daf2612d9a9d258eb146047753155bcb400c9e2,839284002,0.0152372881355932,1
2019-12-12,493b3c3dadea8d57382adb1bd913400457459b32a40316bb8890f6de324fe3d3,765045001,0.0440508474576271,2
2019-04-15,fd28dc2fa774722fc80ce4eacfaaf20b04082d6b476dd995f2d5e79d12d9715b,590547003,0.008457627118644,2
2019-07-24,efa76936b400bbd7742eec9cf49d1e3ad9d305443ea4bb2c2642e31d34556530,595696030,0.005322033898305,2
2019-07-13,3c0d582351549e5ec35a55b721c4d748b729e1f497c0fb984b4cd59ac7bfed9c,698273002,0.0169322033898305,2
2020-05-26,6b5bc628afc46dd972dd6365dd99f4cfdb54db361bf1070878ddf84378528d25,220094001,0.0254067796610169,2
2019-04-06,f9a8ee8d0778da239141009fc4454e5d524933f8b917403575c20fdfce24083f,594987002,0.0135423728813559,2
2020-06-28,222cbe76ad326c9a460810ae4642f69f61f7f70e5047809a3a71d5b2ffa161ff,714790008,0.0503050847457627,2
2019-03-08,78bc7a44925bc7ee37060ea0a16856cd525572b6eda03fa480e15e2eb84f177c,568601007,0.0508305084745762,1
2020-03-05,a6e3cb4573c687f9abdc92ad3022b758facab06a252e47d41790423ff0cf095c,685816005,0.0050677966101694,2
2019-06-11,feda695001bfbbcf7dd630753065d9adbb30aa484c26afb0d03235989acd50af,636207010,0.0338813559322033,2
2019-05-20,cf85b8d7453081db26d0ab339a486c439aafad5f58167b8e901f5e22909af7e0,744712001,0.0304915254237288,1
2018-12-05,07e0ca1014f76f58dcf2d7437bb1d62fc8eb5a56c3dae591a559d291f1e5648b,655261009,0.0338813559322033,2
2018-10-22,13e6c49d2ab969658e1c21dd4a3c5466f094ebde5052c114c372d22ebf5c1644,714871001,0.0423559322033898,2
2020-05-25,34bc6a8e2d35d3b752768433290740c43cf4f82bd87d381998937cddf99ece36,690936006,0.0486949152542372,2
2019-05-14,5c2efbcb733281e053c815bb870c7340bedff024f1cf2c3fc1c063507fe9384f,685429001,0.0338813559322033,2
2019-03-20,a948791097e749521a2ff6cdeded9cd4071d34a69430b275a7ef93eeaa7d37f9,709297002,0.0254067796610169,2
2020-06-03,4e09797f3122a52c9795d4c5a26c4a09873e18f2824b7e812a48e9ebe6113909,859105003,0.0169322033898305,2
2018-10-06,69a4889d951228a57184d6f65762fa533c3d1d7c8e51e25657674158247a99ed,620945002,0.0050677966101694,2
2019-06-04,5f7beaa1ef1a6ea5e5bcdd792dab0682340bcc6e9393102818d217e81af53324,465655024,0.0169322033898305,2
2019-02-22,4a44ea1c32c895f254fc852b8c4f5fb07d717b46371ffd295b61267b74a0ba5b,739578003,0.0423559322033898,2
2019-10-19,bd399a581c024c01cfc177f379091b8df543a5fab4d1b71d40d41e0d755c315d,658547001,0.0220169491525423,2
2019-11-30,adcacd6f67e91b286abd849133358f041dd49815bf57186910dc3b3c183761c1,786245003,0.0194745762711864,2
2019-05-16,7ffb518956776c0543ba61c242bc8056519b83d824209d81c5abb27b82096dbb,697060016,0.0189661016949152,2
